Total Objects,Memory Usage (MB)
583,158.95652770996094
584,160.94281005859375
585,162.94285583496094
586,165.35531616210938
587,167.34176635742188
588,153.2989501953125
589,155.29618072509766
590,157.6688461303711
591,159.66303253173828
592,161.65512084960938
593,163.6551055908203
594,165.6708221435547
595,168.04338836669922
596,155.53275299072266
597,157.53031158447266
598,159.88893127441406
599,161.84947967529297
600,163.86524200439453
601,165.84938049316406
602,168.18209075927734
603,157.87914276123047
604,159.88758850097656
605,161.91693115234375
606,163.87010192871094
607,166.1976318359375
608,168.19757843017578
609,157.66735076904297
610,159.6648178100586
611,161.9439697265625
612,163.9441680908203
613,165.94403839111328
614,167.94393920898438
615,159.2965545654297
616,161.3096694946289
617,163.3096923828125
618,165.3018798828125
619,167.57508850097656
620,169.57315063476562
621,161.0180206298828
622,163.01129150390625
623,165.2660369873047
624,167.2593994140625
625,169.2718963623047
626,171.25035095214844
627,162.8173370361328
628,164.82071685791016
629,166.8073501586914
630,169.04623413085938
631,171.0464324951172
632,164.11134338378906
633,166.11134338378906
634,168.31285095214844
635,163.20375061035156
636,165.3605728149414
637,167.3605194091797
638,169.5219955444336
639,164.2742919921875
640,166.43128204345703
641,168.43121337890625
642,170.5906982421875
643,165.4620590209961
644,167.48854064941406
645,169.6186065673828
646,171.62657928466797
647,166.6219253540039
648,168.63509368896484
649,170.77993774414062
650,167.59519958496094
651,169.72798919677734
652,171.73670196533203
653,168.38715362548828
654,170.51060485839844
655,172.51749420166016
656,169.34548950195312
657,171.42034149169922
658,173.42877197265625
659,170.08335876464844
660,172.20462036132812
661,169.13873291015625
662,171.1498260498047
663,173.25546264648438
664,169.90921020507812
665,171.92028045654297
666,174.02600860595703
667,170.88320922851562
668,172.89305877685547
669,175.01285552978516
670,171.61453247070312
671,173.7393035888672
672,175.87401580810547
673,172.43008422851562
674,174.55512237548828
675,176.6898422241211
676,173.38021087646484
677,175.50206756591797
678,177.62166595458984
679,174.42140197753906
680,176.44120025634766
681,178.56153106689453
682,180.55370330810547
683,182.67906188964844
684,184.74745178222656
685,176.401123046875
686,178.401123046875
687,180.401123046875
688,182.6395721435547
689,184.63978576660156
690,173.52865600585938
691,175.52613067626953
692,177.76480865478516
693,179.76509857177734
694,181.7862777709961
695,184.00350189208984
696,186.0035171508789
697,188.01952362060547
698,190.27356719970703
699,192.2466049194336
700,194.24237823486328
701,196.25790405273438
702,198.5046157836914
703,200.49468994140625
704,202.48104858398438
705,204.72161865234375
706,206.7207794189453
707,208.74922943115234
708,210.9586181640625
709,212.96839141845703
710,214.95850372314453
711,217.04669952392578
712,219.2874526977539
713,221.28739166259766
714,223.2874755859375
715,225.28736114501953
716,227.52609252929688
717,229.52704620361328
718,231.54755401611328
719,233.76478576660156
720,235.7786407470703
721,238.02503204345703
722,183.6573944091797
723,185.65234375
724,188.650390625
725,190.650390625
726,192.650390625
727,194.650390625
728,196.650390625
729,198.650390625
730,200.650390625
731,202.650390625
732,204.650390625
733,206.650390625
734,208.650390625
735,210.650390625
736,212.650390625
737,214.650390625
738,216.650390625
739,219.65234375
740,221.65234375
741,223.65234375
742,225.65234375
743,227.65234375
744,229.65234375
745,231.65821838378906
746,233.65234375
747,235.65234375
748,237.65234375
749,190.8666534423828
750,192.84791564941406
751,194.84791564941406
752,196.84791564941406
753,199.84596252441406
754,201.84596252441406
755,203.84596252441406
756,205.84596252441406
757,207.84596252441406
758,209.84596252441406
759,211.84596252441406
760,213.84596252441406
761,215.84596252441406
762,217.84596252441406
763,219.84596252441406
764,221.84596252441406
765,223.84596252441406
766,225.84596252441406
767,227.84596252441406
768,230.84791564941406
769,232.84791564941406
770,234.84791564941406
771,236.84791564941406
772,238.84791564941406
773,240.84791564941406
774,196.09246826171875
775,198.08154296875
776,200.08154296875
777,202.09523010253906
778,204.08154296875
779,206.08154296875
780,208.08154296875
781,210.08154296875
782,213.07958984375
783,215.07958984375
784,217.07958984375
785,219.07958984375
786,221.07958984375
787,223.07958984375
788,225.07958984375
789,227.07958984375
790,229.07958984375
791,231.07958984375
792,233.07958984375
793,235.07958984375
794,237.07958984375
795,239.07958984375
796,241.07958984375
797,244.08154296875
798,202.01223754882812
799,204.00716400146484
800,206.00763702392578
801,208.00716400146484
802,210.00716400146484
803,212.01302337646484
804,214.0071563720703
805,216.00718688964844
806,218.0071792602539
807,220.02084350585938
808,222.01303100585938
809,224.0071563720703
810,227.00420379638672
811,229.00830078125
812,231.0043182373047
813,233.0043487548828
814,235.00502014160156
815,237.00411224365234
816,239.00716400146484
817,241.00405883789062
818,243.00830078125
819,245.00406646728516
820,208.15616607666016
821,210.38873291015625
822,212.38873291015625
823,214.38873291015625
824,216.38873291015625
825,219.26847076416016
826,221.2684783935547
827,223.26828002929688
828,225.26824188232422
829,227.2682342529297
830,229.2682647705078
831,231.28195190429688
832,233.2682342529297
833,235.2682876586914
834,237.26847076416016
835,239.2682647705078
836,241.27410888671875
837,243.2683868408203
838,246.1458969116211
839,211.5973663330078
840,213.61019897460938
841,215.60057067871094
842,217.5945816040039
843,219.5946273803711
844,221.59461975097656
845,223.5945816040039
846,225.59465789794922
847,227.6111602783203
848,229.61605834960938
849,231.60826873779297
850,233.9169921875
851,235.9169921875
852,237.9169921875
853,239.9169921875
854,242.75676727294922
855,244.7567901611328
856,246.75699615478516
857,215.3307342529297
858,217.31449127197266
859,219.31546020507812
860,221.3144989013672
861,223.31449127197266
862,225.31449127197266
863,227.31448364257812
864,229.3203582763672
865,231.31449127197266
866,234.0723419189453
867,236.0733642578125
868,238.07269287109375
869,240.0725860595703
870,242.0726089477539
871,244.07334899902344
872,246.0879669189453
873,248.07235717773438
874,220.08412170410156
875,222.70982360839844
876,224.70982360839844
877,226.70982360839844
878,228.70982360839844
879,230.70982360839844
880,232.70982360839844
881,234.70982360839844
882,236.70982360839844
883,238.70982360839844
884,240.70982360839844
885,243.38982391357422
886,245.38982391357422
887,247.38985443115234
888,249.38983154296875
889,222.6046371459961
890,224.60214233398438
891,226.60210418701172
892,228.60216522216797
893,230.60214233398438
894,232.60222625732422
895,235.24837493896484
896,237.24061584472656
897,239.24066162109375
898,241.25428009033203
899,243.2406005859375
900,245.2412872314453
901,247.87937927246094
902,249.89513397216797
903,226.7864761352539
904,228.78397369384766
905,230.80170440673828
906,232.7977294921875
907,235.11072540283203
908,237.11072540283203
909,239.11072540283203
910,241.11072540283203
911,243.11072540283203
912,245.6697769165039
913,247.66978454589844
914,249.67072296142578
915,227.90494537353516
916,229.88874053955078
917,231.88894653320312
918,233.8888168334961
919,235.8888168334961
920,237.88873291015625
921,240.44396209716797
922,242.44391632080078
923,244.45783233642578
924,246.44398498535156
925,248.44393920898438
926,250.4440155029297
927,252.4596710205078
928,231.98622131347656
929,233.99132537841797
930,235.9834976196289
931,238.01477813720703
932,239.98355102539062
933,241.9835433959961
934,243.98362731933594
935,245.98353576660156
936,248.43017578125
937,250.43017578125
938,252.43017578125
939,235.01885223388672
940,237.01885223388672
941,239.01885223388672
942,241.01885223388672
943,243.4588623046875
944,245.458984375
945,247.4587860107422
946,249.45875549316406
947,251.4587631225586
948,235.61839294433594
949,238.0145034790039
950,240.01428985595703
951,242.0142822265625
952,244.0299835205078
953,246.028076171875
954,248.02796173095703
955,250.0201644897461
956,252.41266632080078
957,254.41327667236328
958,238.79849243164062
959,240.7957763671875
960,242.8122787475586
961,244.7957305908203
962,247.2021484375
963,249.19445037841797
964,251.1953125
965,253.19532775878906
966,240.85445404052734
967,242.86568450927734
968,245.18531036376953
969,247.2003631591797
970,249.17103576660156
971,251.2081069946289
972,253.1867904663086
973,242.6764907836914
974,244.9778594970703
975,246.97779083251953
976,248.97779846191406
977,250.9855499267578
978,253.2569580078125
979,242.66881561279297
980,244.66631317138672
981,246.68212890625
982,248.6663360595703
983,250.9453353881836
984,252.98414611816406
985,254.96117401123047
986,244.53563690185547
987,246.81199645996094
988,248.8277587890625
989,250.84326934814453
990,252.81189727783203
991,255.0909652709961
992,246.30763244628906
993,248.32032012939453
994,250.33405303955078
995,252.59140014648438
996,254.5836639404297
997,256.59143829345703
998,248.12088775634766
999,250.22083282470703
1000,252.21109771728516
1001,254.22671508789062
1002,256.2955780029297
1003,247.90965270996094
1004,249.90715789794922
1005,251.90711975097656
1006,254.14652252197266
1007,256.14676666259766
1008,258.1463088989258
1009,249.6904067993164
1010,251.9054946899414
1011,253.90747833251953
1012,255.9057159423828
1013,258.14461517333984
1014,260.1504669189453
1015,251.48753356933594
1016,253.5009765625
1017,255.51637268066406
1018,257.7328796386719
